# tier1: 教師の FT テキストと重複（必須除外）
# 生成: uv run python scripts/b10_write_exclusions.py / 出典: reports/b10_overlap.json
# uid	source
REPEAT500_set1_001	jsut/repeat500
REPEAT500_set1_002	jsut/repeat500
REPEAT500_set1_003	jsut/repeat500
REPEAT500_set1_004	jsut/repeat500
REPEAT500_set1_005	jsut/repeat500
REPEAT500_set1_006	jsut/repeat500
REPEAT500_set1_007	jsut/repeat500
REPEAT500_set1_008	jsut/repeat500
REPEAT500_set1_009	jsut/repeat500
REPEAT500_set1_010	jsut/repeat500
REPEAT500_set1_011	jsut/repeat500
REPEAT500_set1_012	jsut/repeat500
REPEAT500_set1_013	jsut/repeat500
REPEAT500_set1_014	jsut/repeat500
REPEAT500_set1_015	jsut/repeat500
REPEAT500_set1_016	jsut/repeat500
REPEAT500_set1_017	jsut/repeat500
REPEAT500_set1_018	jsut/repeat500
REPEAT500_set1_019	jsut/repeat500
REPEAT500_set1_020	jsut/repeat500
REPEAT500_set1_021	jsut/repeat500
REPEAT500_set1_022	jsut/repeat500
REPEAT500_set1_023	jsut/repeat500
REPEAT500_set1_024	jsut/repeat500
REPEAT500_set1_025	jsut/repeat500
REPEAT500_set1_026	jsut/repeat500
REPEAT500_set1_027	jsut/repeat500
REPEAT500_set1_028	jsut/repeat500
REPEAT500_set1_029	jsut/repeat500
REPEAT500_set1_030	jsut/repeat500
REPEAT500_set1_031	jsut/repeat500
REPEAT500_set1_032	jsut/repeat500
REPEAT500_set1_033	jsut/repeat500
REPEAT500_set1_034	jsut/repeat500
REPEAT500_set1_035	jsut/repeat500
REPEAT500_set1_036	jsut/repeat500
REPEAT500_set1_037	jsut/repeat500
REPEAT500_set1_038	jsut/repeat500
REPEAT500_set1_039	jsut/repeat500
REPEAT500_set1_040	jsut/repeat500
REPEAT500_set1_041	jsut/repeat500
REPEAT500_set1_042	jsut/repeat500
REPEAT500_set1_043	jsut/repeat500
REPEAT500_set1_044	jsut/repeat500
REPEAT500_set1_045	jsut/repeat500
REPEAT500_set1_046	jsut/repeat500
REPEAT500_set1_047	jsut/repeat500
REPEAT500_set1_048	jsut/repeat500
REPEAT500_set1_049	jsut/repeat500
REPEAT500_set1_050	jsut/repeat500
REPEAT500_set1_051	jsut/repeat500
REPEAT500_set1_052	jsut/repeat500
REPEAT500_set1_053	jsut/repeat500
REPEAT500_set1_054	jsut/repeat500
REPEAT500_set1_055	jsut/repeat500
REPEAT500_set1_056	jsut/repeat500
REPEAT500_set1_057	jsut/repeat500
REPEAT500_set1_058	jsut/repeat500
REPEAT500_set1_059	jsut/repeat500
REPEAT500_set1_060	jsut/repeat500
REPEAT500_set1_061	jsut/repeat500
REPEAT500_set1_062	jsut/repeat500
REPEAT500_set1_063	jsut/repeat500
REPEAT500_set1_064	jsut/repeat500
REPEAT500_set1_065	jsut/repeat500
REPEAT500_set1_066	jsut/repeat500
REPEAT500_set1_067	jsut/repeat500
REPEAT500_set1_068	jsut/repeat500
REPEAT500_set1_069	jsut/repeat500
REPEAT500_set1_070	jsut/repeat500
REPEAT500_set1_071	jsut/repeat500
REPEAT500_set1_072	jsut/repeat500
REPEAT500_set1_073	jsut/repeat500
REPEAT500_set1_074	jsut/repeat500
REPEAT500_set1_075	jsut/repeat500
REPEAT500_set1_076	jsut/repeat500
REPEAT500_set1_077	jsut/repeat500
REPEAT500_set1_078	jsut/repeat500
REPEAT500_set1_079	jsut/repeat500
REPEAT500_set1_080	jsut/repeat500
REPEAT500_set1_081	jsut/repeat500
REPEAT500_set1_082	jsut/repeat500
REPEAT500_set1_083	jsut/repeat500
REPEAT500_set1_084	jsut/repeat500
REPEAT500_set1_085	jsut/repeat500
REPEAT500_set1_086	jsut/repeat500
REPEAT500_set1_087	jsut/repeat500
REPEAT500_set1_088	jsut/repeat500
REPEAT500_set1_089	jsut/repeat500
REPEAT500_set1_090	jsut/repeat500
REPEAT500_set1_091	jsut/repeat500
REPEAT500_set1_092	jsut/repeat500
REPEAT500_set1_093	jsut/repeat500
REPEAT500_set1_094	jsut/repeat500
REPEAT500_set1_095	jsut/repeat500
REPEAT500_set1_096	jsut/repeat500
REPEAT500_set1_097	jsut/repeat500
REPEAT500_set1_098	jsut/repeat500
REPEAT500_set1_099	jsut/repeat500
REPEAT500_set1_100	jsut/repeat500
VOICEACTRESS100_004	jsut/voiceactress100
VOICEACTRESS100_067	jsut/voiceactress100
