source	id	text
embedded/time	EMB_time_001	午後3時15分です。
embedded/time	EMB_time_002	現在の時刻は、午前9時7分です。
embedded/time	EMB_time_003	ただいま、10時半をお知らせします。
embedded/time	EMB_time_004	あと5分でタイマーが終了します。
embedded/time	EMB_time_005	1時間23分経過しました。
embedded/time	EMB_time_006	朝6時に起こします。
embedded/time	EMB_time_007	正午をお知らせします。
embedded/time	EMB_time_008	午前0時ちょうどです。
embedded/time	EMB_time_009	残り時間は、2時間45分です。
embedded/time	EMB_time_010	次の予定は、午後1時からです。
embedded/time	EMB_time_011	7時20分の電車に間に合います。
embedded/time	EMB_time_012	深夜2時8分、記録しました。
embedded/time	EMB_time_013	所要時間は、およそ35分です。
embedded/time	EMB_time_014	4時ちょうどにアラームを設定しました。
embedded/time	EMB_time_015	毎朝7時45分に通知します。
embedded/time	EMB_time_016	経過時間、0時間0分12秒。
embedded/time	EMB_time_017	タイマーを3分にセットしました。
embedded/time	EMB_time_018	あと10秒で開始します。
embedded/date	EMB_date_001	2026年8月26日、水曜日です。
embedded/date	EMB_date_002	今日は、1月1日、元日です。
embedded/date	EMB_date_003	次の点検は、来月の15日です。
embedded/date	EMB_date_004	3月3日から4月10日までお休みします。
embedded/date	EMB_date_005	令和8年12月31日に更新されます。
embedded/date	EMB_date_006	昨日は、2月29日でした。
embedded/date	EMB_date_007	11月20日の予報をお伝えします。
embedded/date	EMB_date_008	有効期限は、2027年5月末日です。
embedded/date	EMB_date_009	10月1日、午前8時に再起動します。
embedded/date	EMB_date_010	6月4日と7月7日に実施します。
embedded/date	EMB_date_011	本日は、9月13日、金曜日です。
embedded/date	EMB_date_012	締め切りは、今週の土曜日、8月30日です。
embedded/date	EMB_date_013	20日に発送予定です。
embedded/date	EMB_date_014	4月1日から新しい設定が適用されます。
embedded/date	EMB_date_015	1999年12月に製造されました。
embedded/money	EMB_money_001	お会計は、1,250円です。
embedded/money	EMB_money_002	残高は、38,600円です。
embedded/money	EMB_money_003	消費税を含めて、3,300円になります。
embedded/money	EMB_money_004	1個あたり、98円です。
embedded/money	EMB_money_005	合計、120,450円をお支払いください。
embedded/money	EMB_money_006	500円玉を投入してください。
embedded/money	EMB_money_007	月額980円のプランです。
embedded/money	EMB_money_008	10,000円札はご利用いただけません。
embedded/money	EMB_money_009	割引後の価格は、7,920円です。
embedded/money	EMB_money_010	送料は、税込み660円です。
embedded/money	EMB_money_011	1ドルは、152円35銭です。
embedded/money	EMB_money_012	予算は、1億2千万円です。
embedded/money	EMB_money_013	チャージ残高が、300円を下回りました。
embedded/money	EMB_money_014	1,000円ちょうどお預かりします。
embedded/money	EMB_money_015	返金額は、2,480円です。
embedded/notification	EMB_notification_001	電池残量が少なくなっています。
embedded/notification	EMB_notification_002	接続が切断されました。再接続しています。
