group	word	accent_type	mora	pron	carrier_id	text	intermediate
ame	雨	1	2	アメ	0	そこに雨がならんでいる。	そ[こにあ][めがな[らんでいる
ame	飴	0	2	アメ	0	そこに飴がならんでいる。	そ[こにあ[めがな[らんでいる
ame	雨	1	2	アメ	1	ここに雨があるよ。	こ[こにあ][めがあ][るよ
ame	飴	0	2	アメ	1	ここに飴があるよ。	こ[こにあ[めがあ][るよ
hashi	箸	1	2	ハシ	0	そこに箸がならんでいる。	そ[こには][しがな[らんでいる
hashi	橋	2	2	ハシ	0	そこに橋がならんでいる。	そ[こには[し]がな[らんでいる
hashi	端	0	2	ハシ	0	そこに端がならんでいる。	そ[こには[しがな[らんでいる
hashi	箸	1	2	ハシ	1	ここに箸があるよ。	こ[こには][しがあ][るよ
hashi	橋	2	2	ハシ	1	ここに橋があるよ。	こ[こには[し]があ][るよ
hashi	端	0	2	ハシ	1	ここに端があるよ。	こ[こには[しがあ][るよ
kami	神	1	2	カミ	0	そこに神がならんでいる。	そ[こにか][みがな[らんでいる
kami	紙	2	2	カミ	0	そこに紙がならんでいる。	そ[こにか[み]がな[らんでいる
kami	神	1	2	カミ	1	ここに神があるよ。	こ[こにか][みがあ][るよ
kami	紙	2	2	カミ	1	ここに紙があるよ。	こ[こにか[み]があ][るよ
sake	酒	0	2	サケ	0	そこに酒がならんでいる。	そ[こにさ[けがな[らんでいる
sake	鮭	1	2	サケ	0	そこに鮭がならんでいる。	そ[こにさ][けがな[らんでいる
sake	酒	0	2	サケ	1	ここに酒があるよ。	こ[こにさ[けがあ][るよ
sake	鮭	1	2	サケ	1	ここに鮭があるよ。	こ[こにさ][けがあ][るよ
ima	今	1	2	イマ	0	そこに今がならんでいる。	そ[こにい][まがな[らんでいる
ima	居間	2	2	イマ	0	そこに居間がならんでいる。	そ[こにい[ま]がな[らんでいる
ima	今	1	2	イマ	1	ここに今があるよ。	こ[こにい][まがあ][るよ
ima	居間	2	2	イマ	1	ここに居間があるよ。	こ[こにい[ま]があ][るよ
kaki	牡蠣	1	2	カキ	0	そこに牡蠣がならんでいる。	そ[こにか][きがな[らんでいる
kaki	柿	0	2	カキ	0	そこに柿がならんでいる。	そ[こにか[きがな[らんでいる
kaki	垣	2	2	カキ	0	そこに垣がならんでいる。	そ[こにか[き]がな[らんでいる
kaki	牡蠣	1	2	カキ	1	ここに牡蠣があるよ。	こ[こにか][きがあ][るよ
kaki	柿	0	2	カキ	1	ここに柿があるよ。	こ[こにか[きがあ][るよ
kaki	垣	2	2	カキ	1	ここに垣があるよ。	こ[こにか[き]があ][るよ
hana	花	2	2	ハナ	0	そこに花がならんでいる。	そ[こには[な]がな[らんでいる
hana	鼻	0	2	ハナ	0	そこに鼻がならんでいる。	そ[こには[ながな[らんでいる
hana	花	2	2	ハナ	1	ここに花があるよ。	こ[こには[な]があ][るよ
hana	鼻	0	2	ハナ	1	ここに鼻があるよ。	こ[こには[ながあ][るよ
aki	秋	1	2	アキ	0	そこに秋がならんでいる。	そ[こにあ][きがな[らんでいる
aki	空き	0	2	アキ	0	そこに空きがならんでいる。	そ[こにあ[きがな[らんでいる
aki	秋	1	2	アキ	1	ここに秋があるよ。	こ[こにあ][きがあ][るよ
aki	空き	0	2	アキ	1	ここに空きがあるよ。	こ[こにあ[きがあ][るよ
ishi	石	2	2	イシ	0	そこに石がならんでいる。	そ[こにい[し]がな[らんでいる
ishi	意思	1	2	イシ	0	そこに意思がならんでいる。	そ[こにい][しがな[らんでいる
ishi	石	2	2	イシ	1	ここに石があるよ。	こ[こにい[し]があ][るよ
ishi	意思	1	2	イシ	1	ここに意思があるよ。	こ[こにい][しがあ][るよ
shiro	白	1	2	シロ	0	そこに白がならんでいる。	そ[こにし][ろがな[らんでいる
shiro	城	0	2	シロ	0	そこに城がならんでいる。	そ[こにし[ろがな[らんでいる
shiro	白	1	2	シロ	1	ここに白があるよ。	こ[こにし][ろがあ][るよ
shiro	城	0	2	シロ	1	ここに城があるよ。	こ[こにし[ろがあ][るよ
momo	桃	0	2	モモ	0	そこに桃がならんでいる。	そ[こにも[もがな[らんでいる
momo	腿	1	2	モモ	0	そこに腿がならんでいる。	そ[こにも][もがな[らんでいる
momo	桃	0	2	モモ	1	ここに桃があるよ。	こ[こにも[もがあ][るよ
momo	腿	1	2	モモ	1	ここに腿があるよ。	こ[こにも][もがあ][るよ
